offline_datapoint_11 1730249817 1058529,000
offline_datapoint_5 1730249817 3786,000
offline_datapoint_26 1730249817 1318322176,000
offline_datapoint_14 1730249817 633409536,000
offline_datapoint_3 1730249817 12326629376,000
offline_datapoint_9 1730249817 327729152,000
offline_datapoint_25 1730249817 8308,000
offline_datapoint_19 1730249815 87,268
offline_datapoint_8 1730249815 7910,966
offline_datapoint_21 1730249817 327729152,000
offline_datapoint_1 1730249815 17,052
offline_datapoint_20 1730249817 8542351360,000
offline_datapoint_7 1730249817 9526800384,000
offline_datapoint_6 1730249815 0,218
offline_datapoint_12 1730249815 10,704
offline_datapoint_24 1730249815 4,484
offline_datapoint_13 1730249815 8428,890
offline_datapoint_18 1730249817 0,000
offline_datapoint_0 1730249815 9516,230
offline_datapoint_16 1730249815 1791,503
offline_datapoint_28 1730249815 0,055
offline_datapoint_17 1730249815 12,706
offline_datapoint_10 1730249815 99,945
offline_datapoint_29 1730249815 0,000
offline_datapoint_22 1730249815 28281,263
offline_datapoint_4 1730249815 0,002
offline_datapoint_11 1730249820 1058529,000
offline_datapoint_5 1730249820 3779,000
offline_datapoint_26 1730249820 1318375424,000
offline_datapoint_14 1730249820 633409536,000
offline_datapoint_3 1730249820 12343521280,000
offline_datapoint_9 1730249820 326889472,000
offline_datapoint_25 1730249820 8309,000
offline_datapoint_19 1730249818 0,334
offline_datapoint_8 1730249818 6694,718
offline_datapoint_21 1730249820 326889472,000
offline_datapoint_1 1730249818 0,334
offline_datapoint_20 1730249820 8543862784,000
offline_datapoint_7 1730249820 9527971840,000
offline_datapoint_6 1730249818 0,521
offline_datapoint_12 1730249818 10,619
offline_datapoint_24 1730249818 4,083
offline_datapoint_13 1730249818 11983,656
offline_datapoint_18 1730249820 0,000
offline_datapoint_0 1730249818 18042,021
offline_datapoint_16 1730249818 1941,745
offline_datapoint_28 1730249818 0,091
offline_datapoint_17 1730249818 19,011
offline_datapoint_10 1730249818 99,883
offline_datapoint_29 1730249818 4,336
offline_datapoint_22 1730249818 29624,140
offline_datapoint_4 1730249818 0,004
offline_datapoint_11 1730249823 1058529,000
offline_datapoint_5 1730249823 3790,000
offline_datapoint_26 1730249823 1318305792,000
offline_datapoint_14 1730249823 633413632,000
offline_datapoint_3 1730249823 12436619264,000
offline_datapoint_9 1730249823 328511488,000
offline_datapoint_25 1730249823 8280,000
offline_datapoint_19 1730249821 11,978
offline_datapoint_8 1730249821 18574,242
offline_datapoint_21 1730249823 328511488,000
offline_datapoint_1 1730249821 2,662
offline_datapoint_20 1730249823 8637120512,000
offline_datapoint_7 1730249823 9556840448,000
offline_datapoint_6 1730249821 1,126
offline_datapoint_12 1730249821 18,998
offline_datapoint_24 1730249821 6,281
offline_datapoint_13 1730249821 21844,690
offline_datapoint_18 1730249823 0,000
offline_datapoint_0 1730249821 35209,308
offline_datapoint_16 1730249821 6060,428
offline_datapoint_28 1730249821 0,078
offline_datapoint_17 1730249821 30,612
offline_datapoint_10 1730249821 99,893
offline_datapoint_29 1730249821 1,996
offline_datapoint_22 1730249821 14146,783
offline_datapoint_4 1730249821 0,003
offline_datapoint_11 1730249826 1058529,000
offline_datapoint_5 1730249826 3779,000
offline_datapoint_26 1730249826 1318334464,000
offline_datapoint_14 1730249826 633413632,000
offline_datapoint_3 1730249826 12410789888,000
offline_datapoint_9 1730249826 328683520,000
offline_datapoint_25 1730249826 8286,000
offline_datapoint_19 1730249824 0,000
offline_datapoint_8 1730249824 5509,838
offline_datapoint_21 1730249826 328683520,000
offline_datapoint_1 1730249824 0,000
offline_datapoint_20 1730249826 8613429248,000
offline_datapoint_7 1730249826 9533665280,000
