163 1730249817 0,000000 0,000000 -101,000000 0,000000 0,000000
163 1730249818 0,000000 0,000000 -101,000000 0,000000 0,000000
163 1730249819 0,000000 0,000000 -101,000000 0,000000 0,000000
163 1730249820 0,000000 0,000000 -101,000000 0,000000 0,000000
163 1730249821 6,000000 0,200000 1,200000 1,200000 -20,200000
163 1730249822 6,000000 0,200000 2,400000 2,400000 -20,200000
163 1730249823 6,000000 0,200000 3,600000 3,600000 -20,200000
163 1730249824 6,000000 0,200000 4,800000 4,800000 -20,200000
163 1730249825 6,000000 0,200000 6,000000 6,000000 -20,200000
163 1730249826 3,000000 0,400000 7,200000 7,200000 -20,200000
163 1730249827 3,000000 0,400000 8,400000 8,400000 -20,200000
163 1730249828 3,000000 0,400000 9,600000 9,600000 -20,200000
163 1730249829 3,000000 0,400000 10,800000 10,800000 -20,200000
163 1730249830 3,000000 0,400000 12,000000 12,000000 -20,200000
163 1730249831 0,500000 0,800000 12,400000 12,400000 -20,200000
163 1730249832 0,500000 0,800000 12,800000 12,800000 -20,200000
163 1730249833 0,500000 0,800000 13,200000 13,200000 -20,200000
163 1730249834 0,500000 0,800000 13,600000 13,600000 -20,200000
163 1730249835 0,500000 0,800000 14,000000 14,000000 -20,200000
163 1730249836 0,428571 1,400000 14,600000 14,600000 -20,200000
163 1730249837 0,428571 1,400000 15,200000 15,200000 -20,200000
163 1730249838 0,428571 1,400000 15,800000 15,800000 -20,200000
163 1730249839 0,428571 1,400000 16,400000 16,400000 -20,200000
163 1730249840 0,428571 1,400000 17,000000 17,000000 -20,200000
163 1730249841 0,666667 1,800000 18,200000 18,200000 -20,200000
163 1730249842 0,666667 1,800000 19,400000 19,400000 -20,200000
163 1730249843 0,666667 1,800000 20,600000 20,600000 -20,200000
163 1730249844 0,666667 1,800000 21,800000 21,800000 -20,200000
163 1730249845 0,666667 1,800000 23,000000 23,000000 -20,200000
163 1730249846 0,000000 2,000000 23,000000 23,000000 -20,200000
163 1730249847 0,000000 2,000000 23,000000 23,000000 -20,200000
163 1730249848 0,000000 2,000000 23,000000 23,000000 -20,200000
163 1730249849 0,000000 2,000000 23,000000 23,000000 -20,200000
163 1730249850 0,000000 2,000000 23,000000 23,000000 -20,200000
163 1730249851 -0,200000 3,000000 22,400000 22,400000 -20,200000
163 1730249852 -0,200000 3,000000 21,800000 21,800000 -20,200000
163 1730249853 -0,200000 3,000000 21,200000 21,200000 -20,200000
163 1730249854 -0,200000 3,000000 20,600000 20,600000 -20,200000
163 1730249855 -0,200000 3,000000 20,000000 20,000000 -20,200000
163 1730249856 0,250000 3,200000 20,800000 20,800000 -20,200000
163 1730249857 0,250000 3,200000 21,600000 21,600000 -20,200000
163 1730249858 0,250000 3,200000 22,400000 22,400000 -20,200000
163 1730249859 0,250000 3,200000 23,200000 23,200000 -20,200000
163 1730249860 0,250000 3,200000 24,000000 24,000000 -20,200000
163 1730249861 0,105263 3,800000 24,400000 24,400000 -20,200000
163 1730249862 0,105263 3,800000 24,800000 24,800000 -20,200000
163 1730249863 0,105263 3,800000 25,200000 25,200000 -20,200000
163 1730249864 0,105263 3,800000 25,600000 25,600000 -20,200000
163 1730249865 0,105263 3,800000 26,000000 26,000000 -20,200000
163 1730249866 0,347826 4,600000 27,600000 27,600000 -20,200000
163 1730249867 0,347826 4,600000 29,200000 29,200000 -20,200000
163 1730249868 0,347826 4,600000 30,800000 30,800000 -20,200000
163 1730249869 0,347826 4,600000 32,400000 32,400000 -20,200000
163 1730249870 0,347826 4,600000 34,000000 34,000000 -20,200000
163 1730249871 0,269231 5,200000 35,400000 35,400000 -20,200000
163 1730249872 0,269231 5,200000 36,800000 36,800000 -20,200000
163 1730249873 0,269231 5,200000 38,200000 38,200000 -20,200000
163 1730249874 0,269231 5,200000 39,600000 39,600000 -20,200000
163 1730249875 0,269231 5,200000 41,000000 41,000000 -20,200000
163 1730249876 -0,250000 5,600000 39,600000 39,600000 -20,200000
163 1730249877 -0,250000 5,600000 38,200000 38,200000 -20,200000
163 1730249878 -0,250000 5,600000 36,800000 36,800000 -20,200000
163 1730249879 -0,250000 5,600000 35,400000 35,400000 -20,200000
163 1730249880 -0,250000 5,600000 34,000000 34,000000 -20,200000
163 1730249881 0,137931 5,800000 34,800000 34,800000 -20,200000
163 1730249882 0,137931 5,800000 35,600000 35,600000 -20,200000
163 1730249883 0,137931 5,800000 36,400000 36,400000 -20,200000
163 1730249884 0,137931 5,800000 37,200000 37,200000 -20,200000
163 1730249885 0,137931 5,800000 38,000000 38,000000 -20,200000
163 1730249886 0,000000 6,800000 38,000000 38,000000 -20,200000
163 1730249887 0,000000 6,800000 38,000000 38,000000 -20,200000
163 1730249888 0,000000 6,800000 38,000000 38,000000 -20,200000
163 1730249889 0,000000 6,800000 38,000000 38,000000 -20,200000
163 1730249890 0,000000 6,800000 38,000000 38,000000 -20,200000
163 1730249891 -0,138889 7,200000 37,000000 37,000000 -20,200000
163 1730249892 -0,138889 7,200000 36,000000 36,000000 -20,200000
163 1730249893 -0,138889 7,200000 35,000000 35,000000 -20,200000
163 1730249894 -0,138889 7,200000 34,000000 34,000000 -20,200000
163 1730249895 -0,138889 7,200000 33,000000 33,000000 -20,200000
163 1730249896 -0,026316 7,600000 32,800000 32,800000 -20,200000
163 1730249897 -0,026316 7,600000 32,600000 32,600000 -20,200000
163 1730249898 -0,026316 7,600000 32,400000 32,400000 -20,200000
163 1730249899 -0,026316 7,600000 32,200000 32,200000 -20,200000
